season,level1,level2,beta,delta_F,d_B,coverage,A_rev,A_lf,A_imbalance,A_ep_blocked_rate,A_lost_rate,A_flex_share_n,A_flex_share_cbm,A_avg_unit_price,A_mean_d,A_no_offer_rate,B_rev,B_lf,B_imbalance,B_ep_blocked_rate,B_lost_rate,B_flex_share_n,B_flex_share_cbm,B_avg_unit_price,B_mean_d,B_no_offer_rate,P_rev,P_lf,P_imbalance,P_ep_blocked_rate,P_lost_rate,P_flex_share_n,P_flex_share_cbm,P_avg_unit_price,P_mean_d,P_no_offer_rate,C_rev,C_lf,C_imbalance,C_ep_blocked_rate,C_lost_rate,C_flex_share_n,C_flex_share_cbm,C_avg_unit_price,C_mean_d,C_no_offer_rate,A_rev_sd,B_rev_sd,P_rev_sd,C_rev_sd,cannibalisation,gap_BA,gap_CB,gap_CA,gap_PA,gap_CP,d_paper,CA_ci95
Peak/Peak,Peak,Peak,0.2,0.0,0.05,0.4722222222222222,4420.903027488779,0.6674068580146104,0.06069012592987935,0.48138423728868285,0.48138423728868285,0.0,0.0,100.0,,0.0,4465.7346919222455,0.6932538627910756,0.038966652905573905,0.5508246072256536,0.5018381815642498,0.5470108118333276,0.5505250868789391,97.24737456560531,0.05000000000000002,0.0,4213.216953313336,0.6937637241548997,0.038886474781093756,0.5512328152922071,0.5024328691620265,0.551150216594738,0.5546795628478031,91.67980655728296,0.14999999999999997,0.0,4524.055083774772,0.692979500628488,0.04009928448868853,0.5483747555006908,0.49963317377132216,0.5223426659496085,0.5206856677886361,98.55672039692348,0.024396472954449296,0.050587651063874715,237.63471716592514,220.4378259805342,214.67387708158256,221.87553698672144,0.7315587074863906,1.01408386826644,1.3059529030691983,2.3332802290528196,-4.69782017122,7.377691059013449,0.15,0.38145500310036035
Peak/Normal,Peak,Normal,0.2,0.0,0.05,0.4444444444444444,4349.794947285919,0.6566719425250481,0.06251118904478842,0.43770646337956803,0.43770646337956803,0.0,0.0,100.0,,0.0,4420.467935222771,0.6861941401366528,0.03894145630584599,0.5063976317094037,0.45437963430144035,0.5469397963987859,0.5493512581149376,97.25324370942532,0.05000000000000002,0.0,4168.632019371513,0.6864247359087166,0.03765735321316908,0.5070145428760662,0.4549150380818599,0.5523492686620339,0.554463798563923,91.68304302154117,0.14999999999999997,0.0,4475.114447946906,0.6851103845566251,0.039304624738653045,0.5043032497395227,0.45108903796610167,0.5081020307896997,0.5049511467315361,98.60876608452422,0.026820219928692168,0.08741143136758706,247.85678774532636,225.72600591543352,223.46767427893104,233.06083884901946,0.7278025728537674,1.6247429773890618,1.2362155664269183,2.8810438694168923,-4.16486133507153,7.352110408190936,0.15,0.38639699177460674
Peak/OffPeak,Peak,OffPeak,0.2,0.0,0.05,0.5092592592592593,4156.48619424206,0.6274888578263981,0.09522714277455192,0.38387145823079744,0.38387145823079744,0.0,0.0,100.0,,0.0,4314.708205709443,0.6697934017618905,0.03811435854905129,0.4482578150801045,0.39087430124683764,0.546752913754375,0.549780211654293,97.25109894172853,0.05000000000000002,0.0,4070.35847223553,0.6702540759479018,0.03839955733681591,0.44819676281254744,0.39096969299444767,0.5513850796418756,0.5544587519719691,91.68311872042047,0.14999999999999997,0.0,4351.870160848808,0.669485877322866,0.039091585433742006,0.4476585414876835,0.3898210013170927,0.539284954593092,0.541839951574041,98.12957167704872,0.030998954765449165,0.016417614880533518,271.98488928988763,239.47904509861758,228.46326738840395,245.82073781163385,0.709327661340527,3.806629062946635,0.861285476737233,4.700700482956286,-2.0721281866842776,6.916139955080316,0.15,0.4935189435310499
Normal/Peak,Normal,Peak,0.2,0.0,0.05,0.47685185185185186,4355.122865282341,0.657476277971368,0.06477628758706419,0.43360010631782364,0.43360010631782364,0.0,0.0,100.0,,0.0,4403.55173270991,0.6835940557331389,0.03922134751969728,0.506616340359403,0.45504956651628686,0.5461326447001437,0.5500726435060667,97.24963678246966,0.05000000000000001,0.0,4152.128119672062,0.6836680198880981,0.039427159243516786,0.5073292484787091,0.4555101898582348,0.5502362037945726,0.5540594679728228,91.68910798040764,0.14999999999999997,0.0,4507.3701211480075,0.6835092825454474,0.03997380688033502,0.49797355321044756,0.4489004743114393,0.48995458345983506,0.48615522957321816,99.55991746258485,0.010411001505868179,0.12564918655240281,246.9408618412912,230.38951211367504,221.37278016089707,226.19875247600146,0.7220092024539877,1.1119977306180757,2.3576057405418247,3.495819993491647,-4.661056688629587,8.555660886109717,0.15,0.3991545524647684
Normal/Normal,Normal,Normal,0.2,0.0,0.05,0.4398148148148148,4271.401124965366,0.644837126353467,0.06004341344806176,0.3833670235375915,0.3833670235375915,0.0,0.0,100.0,,0.0,4341.532021039695,0.6738147594384943,0.04133046883904397,0.4598156897794107,0.40592703253106477,0.5420508339978981,0.5455872214334423,97.27206389283279,0.05000000000000002,0.0,4098.264408132495,0.6743168356027689,0.04062890277229732,0.4598715594457169,0.40618917550668165,0.546096826108619,0.5495972996928028,91.75604050460795,0.14999999999999997,0.0,4350.416374147424,0.6737195507875556,0.041089902255892846,0.45822527660100826,0.40507097253827323,0.5340737269436131,0.5369210084962714,97.47744845611018,0.046158878525180726,0.018223859800646412,250.8001451757013,234.65252874576336,224.08622659832523,242.81854370210056,0.7505969064673518,1.6418709932071218,0.20463636026808615,1.8498672185160043,-4.053393998070703,6.152652462212166,0.15,0.398466660616267
Normal/OffPeak,Normal,OffPeak,0.2,0.0,0.05,0.4537037037037037,4088.8793019455707,0.617282503313039,0.07893767262382241,0.3098792104295194,0.3098792104295194,0.0,0.0,100.0,,0.0,4215.750936333852,0.6542675641006506,0.04119433749024809,0.381372226799471,0.32495507959363784,0.5392614681007033,0.5450836265675663,97.27458186716215,0.05000000000000001,0.0,3979.3496778201334,0.6547426100433428,0.04139481374536572,0.38215186413754,0.32517081898699524,0.5441778909844937,0.5497345269475975,91.75398209578603,0.14999999999999997,0.0,4244.622490965637,0.6543054457740061,0.04202498214570137,0.3798536399593641,0.32347427195890033,0.5239724529834706,0.5275915753638016,97.92669878249951,0.03903336720205114,0.033319246898372706,266.0540973614201,249.836731917845,238.85119686597997,260.7467799764586,0.7334042315011754,3.1028461595311336,0.6848496286379768,3.8089456185698674,-2.6787199141173206,6.666235305333064,0.15,0.449107171614649
OffPeak/Peak,OffPeak,Peak,0.2,0.0,0.05,0.4861111111111111,4139.638189618011,0.6249453788674534,0.09137920527144112,0.387860352925437,0.387860352925437,0.0,0.0,100.0,,0.0,4303.960653476261,0.6681590457664598,0.04045827573158872,0.44908255961174814,0.3908284361357783,0.546457470486796,0.550992545860471,97.24503727069765,0.05000000000000002,0.0,4058.424620170733,0.6682404413998096,0.04056555867901622,0.4490110556488969,0.3911235278600663,0.5501004440957764,0.554362655165215,91.68456017252178,0.14999999999999997,0.0,4389.01612656275,0.6691372667234776,0.04000548822578688,0.4460680058058804,0.38757524486716605,0.5240498118720973,0.5262702376953813,99.02561734927947,0.019353417324200137,0.05242043519230208,256.1411776371018,228.56524429633697,221.61191394251605,234.28829237268724,0.7002246710174388,3.9694885478243367,1.9762140022769796,6.024148138602202,-1.9618518751459337,8.145808714764545,0.15,0.4579932860740563
OffPeak/Normal,OffPeak,Normal,0.2,0.0,0.05,0.4722222222222222,4081.826502484269,0.6162177690948475,0.07999851533665296,0.3069759842492452,0.3069759842492452,0.0,0.0,100.0,,0.0,4199.811265446526,0.6518033653686479,0.0412455716837135,0.3786179802517019,0.3222269695845448,0.5394502353119411,0.5452030556653402,97.2739847216733,0.05000000000000001,0.0,3959.168515007791,0.6513899028977221,0.040490091260061846,0.3795284069608701,0.32339235735188593,0.5434925965950893,0.5493096133611092,91.76035579958335,0.14999999999999994,0.0,4228.65584796998,0.6506158788174381,0.04186169324800249,0.37397803830039406,0.31951215535606986,0.5127797092845331,0.5171155781235413,98.1189723517586,0.03509824360832542,0.05623604626916134,268.97905437831037,240.34247393411434,230.88282496575246,247.86334660602088,0.7346997194710024,2.8904894142475013,0.6868066372593808,3.5971481246532133,-3.0049779774281493,6.806664882807051,0.15,0.46502668990949303
OffPeak/OffPeak,OffPeak,OffPeak,0.2,0.0,0.05,0.4583333333333333,3892.5529500636108,0.5876438632342408,0.06690224661423885,0.2118923803346046,0.2118923803346046,0.0,0.0,100.0,,0.0,4030.7015865344256,0.6256037901570104,0.04137346384443935,0.28252833115967635,0.2239607195897596,0.5369834800111619,0.5467251866169517,97.26637406691525,0.05000000000000002,0.0,3803.262889546806,0.6258739424471093,0.04082112426270076,0.2826173342126911,0.22438898236653124,0.5411664484408945,0.5507099580440173,91.73935062933974,0.14999999999999994,0.0,4009.960055466593,0.6227180256847679,0.042940606574698316,0.277182388568561,0.22148599575503383,0.48717563015020543,0.4931895829290667,97.21694246624155,0.05359639069397043,0.10488126742942466,282.4684090058876,246.26353655995084,236.99539748299725,250.270856117357,0.7610827775598273,3.549049640251066,-0.514588605048928,3.016198030165876,-2.293868873777184,5.434732542099316,0.15,0.4675840564503785
ANY,ANY,ANY,0.2,0.0,0.05,0.5462962962962963,4198.892632345066,0.633890795945813,0.07094248706436636,0.36760399343115924,0.36760399343115924,0.0,0.0,100.0,,0.0,4301.856260506732,0.6675705052717423,0.0404242879873267,0.43593453633560453,0.3811747189219746,0.5404122000913357,0.54336211696812,97.2831894151594,0.05000000000000002,0.0,4055.4632355053805,0.6670357124163715,0.039475915691749325,0.43695736932828116,0.3823087469422461,0.5447468380963638,0.5477737701609405,91.7833934475859,0.14999999999999997,0.0,4267.0093015153,0.6657484206218794,0.041134215707087966,0.4314718097288224,0.3783455145831802,0.5086113533243508,0.5087318745245071,96.76270351057319,0.06233606973839821,0.07233455601189444,296.86543309376896,267.3213223192481,257.5878222154365,268.3693721638893,0.7314074645790838,2.4521614905918905,-0.81004470817273,1.6222531780287712,-3.415886268079704,5.216323110954229,0.15,0.43010306986301583
